# GNDS name	pathway	source	factor	f1	lung_model
# GNDS name	pathway(air|soil|ingest|inhale)	source(EPA|DOE|GENII)
# factor	f1(to body fluids, ingest only)	lung(D|W|Y|V|O, inhale only)
# Dose factors from the BSD-3 PyNE dbgen tables (no separate CSV license):
# dosefactors_external_air.csv (93 rows; Nuclide,Air Dose Rate Factor,Ratio;
# mrem/h per Ci/m^3; EPA-only), dosefactors_external_soil.csv (93 rows;
# Nuclide,GENII,EPA,DOE,...; mrem/h per Ci/m^2, 15cm slab),
# dosefactors_ingest.csv (93 rows; Nuclide,f1,GENII,EPA,DOE,...; mrem/pCi),
# dosefactors_inhale.csv (93 rows; Nuclide,Lung Model,GENII,EPA,DOE,...;
# mrem/pCi; lung D/W/Y/V/O).
# Proximate provenance: HNF-SD-WM-TI-707 Rev.1 (Dec 1999), App. O of
# HNF-5636 (2001); GENII/EPA/DOE are 3 parallel evaluations in that report.
# Semantics follow pyne/dbgen/dosefactors.py (260 lines): Nuclide keys like
# H-3 with +D = plus daughters fold into the parent (suffix stripped).
# Air is EPA-only: GENII/DOE air rows are -1 sentinels (PyNE convention);
# accessors treat negative factors as missing. Liability: not for safety
# decisions (upstream PyNE disclaimer).
# Regenerate: python3 scripts/gen-nuclear-data.py --dose-air <air.csv> --dose-soil <soil.csv> --dose-ingest <ingest.csv> --dose-inhale <inhale.csv> --out <dir>.
Cl36	air	GENII	-1		
Cl36	ingest	DOE	3e-06	1	
Cl36	ingest	EPA	3.03e-06	1	
Cl36	ingest	GENII	2.95e-06	1	
Cl36	inhale	DOE	2e-05		W
Cl36	inhale	EPA	2.19e-05		W
Cl36	inhale	GENII	2.21e-05		W
Cl36	soil	DOE	0.000532		
Cl36	soil	EPA	1.16		
Cl36	soil	GENII	0.858		
Cm242	air	DOE	-1		
Cm242	air	EPA	7.58e-11		
Cm242	air	GENII	-1		
Cm242	ingest	DOE	0.00011	0.001	
Cm242	ingest	EPA	0.000115	0.001	
Cm242	ingest	GENII	0.000115	0.001	
Cm242	inhale	DOE	0.00017		W
Cm242	inhale	EPA	0.0173		W
Cm242	inhale	GENII	0.0175		W
Cm242	soil	DOE	10.7		
Cm242	soil	EPA	0.0859		
Cm242	soil	GENII	0.0597		
Cm243	air	DOE	-1		
Cm243	air	EPA	7.83e-08		
Cm243	air	GENII	-1		
Cm243	ingest	DOE	0.0029	0.001	
Cm243	ingest	EPA	0.00251	0.001	
Cm243	ingest	GENII	0.0025	0.001	
Cm243	inhale	DOE	0.35		W
Cm243	inhale	EPA	0.307		W
Cm243	inhale	GENII	0.307		W
Cm243	soil	DOE	1670		
Cm243	soil	EPA	286		
Cm243	soil	GENII	290		
Cm244	air	DOE	-1		
Cm244	air	EPA	6.54e-11		
Cm244	air	GENII	-1		
Cm244	ingest	DOE	0.0023	0.001	
Cm244	ingest	EPA	0.00202	0.001	
Cm244	ingest	GENII	0.00201	0.001	
Cm244	inhale	DOE	0.27		W
Cm244	inhale	EPA	0.248		W
Cm244	inhale	GENII	0.248		W
Cm244	soil	DOE	9.46		
Cm244	soil	EPA	0.0639		
Cm244	soil	GENII	0.0509		
Cm245	air	DOE	-1		
Cm245	air	EPA	5.28e-08		
Cm245	air	GENII	-1		
Cm245	ingest	DOE	0.0045	0.001	
Cm245	ingest	EPA	0.00374	0.001	
Cm245	ingest	GENII	0.00373	0.001	
Cm245	inhale	DOE	0.54		W
Cm245	inhale	EPA	0.455		W
Cm245	inhale	GENII	0.455		W
Cm245	soil	DOE	974		
Cm245	soil	EPA	171		
Cm245	soil	GENII	132		
Cm246	air	DOE	-1		
Cm246	air	EPA	5.94e-11		
Cm246	air	GENII	-1		
Cm246	ingest	DOE	0.0045	0.001	
Cm246	ingest	EPA	0.0037	0.001	
Cm246	ingest	GENII	0.0037	0.001	
Cm246	inhale	DOE	0.54		W
Cm246	inhale	EPA	0.451		W
Cm246	inhale	GENII	0.451		W
Cm246	soil	DOE	8.37		
Cm246	soil	EPA	0.0589		
Cm246	soil	GENII	0.0419		
Cm247	air	DOE	-1		
Cm247	air	EPA	2.14e-07		
Cm247	air	GENII	-1		
Cm247	ingest	DOE	0.0041	0.001	
Cm247	ingest	EPA	0.00342	0.001	
Cm247	ingest	GENII	0.0034	0.001	
Cm247	inhale	DOE	0.49		W
Cm247	inhale	EPA	0.414		W
Cm247	inhale	GENII	0.415		W
Cm247	soil	DOE	4160		
Cm247	soil	EPA	874		
Cm247	soil	GENII	1300		
Cm248	air	DOE	-1		
Cm248	air	EPA	4.52e-11		
Cm248	air	GENII	-1		
Cm248	ingest	DOE	0.016	0.001	
Cm248	ingest	EPA	0.0136	0.001	
Cm248	ingest	GENII	0.0136	0.001	
Cm248	inhale	DOE	1.9		W
Cm248	inhale	EPA	1.65		W
Cm248	inhale	GENII	1.65		W
Cm248	soil	DOE	6.71		
Cm248	soil	EPA	0.0445		
Cm248	soil	GENII	0.0383		
Cm250	air	DOE	-1		
Cm250	air	EPA	2.11e-07		
Cm250	air	GENII	-1		
Cm250	ingest	DOE	0.0777	0.001	
Cm250	ingest	EPA	0.0777	0.001	
Cm250	ingest	GENII	0.0776	0.001	
Cm250	inhale	DOE	9.4		W
Cm250	inhale	EPA	9.4		W
Cm250	inhale	GENII	9.43		W
Cm250	soil	DOE	4400		
Cm250	soil	EPA	855		
Cm250	soil	GENII	1200		
Co60	air	DOE	-1		
Co60	air	EPA	1.68e-06		
Co60	air	GENII	-1		
Co60	ingest	DOE	2.6e-05	0.3	
Co60	ingest	EPA	2.69e-05	0.3	
Co60	ingest	GENII	2.65e-05	0.3	
Co60	inhale	DOE	0.00015		Y
Co60	inhale	EPA	0.000219		Y
Co60	inhale	GENII	0.0002		Y
Co60	soil	DOE	25900		
Co60	soil	EPA	6870		
Co60	soil	GENII	7510		
Cs134	air	DOE	-1		
Cs134	air	EPA	1.01e-06		
Cs134	air	GENII	-1		
Cs134	ingest	DOE	7.4e-05	1	
Cs134	ingest	EPA	7.33e-05	1	
Cs134	ingest	GENII	6.82e-05	1	
Cs134	inhale	DOE	4.7e-05		D
Cs134	inhale	EPA	4.63e-05		D
Cs134	inhale	GENII	4.28e-05		D
Cs134	soil	DOE	18000		
Cs134	soil	EPA	4240		
Cs134	soil	GENII	5230		
Cs135	air	DOE	-1		
Cs135	air	EPA	7.53e-12		
Cs135	air	GENII	-1		
Cs135	ingest	DOE	7.1e-06	1	
Cs135	ingest	EPA	7.07e-06	1	
Cs135	ingest	GENII	6.86e-06	1	
Cs135	inhale	DOE	4.5e-06		D
Cs135	inhale	EPA	4.55e-06		D
Cs135	inhale	GENII	4.49e-06		D
Cs135	soil	DOE	0		
Cs135	soil	EPA	0.0194		
Cs135	soil	GENII	0.0146		
Cs137	air	DOE	-1		
Cs137	air	EPA	3.63e-07		
Cs137	air	GENII	-1		
Cs137	ingest	DOE	5e-05	1	
Cs137	ingest	EPA	5e-05	1	
Cs137	ingest	GENII	4.74e-05	1	
Cs137	inhale	DOE	3.2e-05		D
Cs137	inhale	EPA	3.19e-05		D
Cs137	inhale	GENII	2.98e-05		D
Cs137	soil	DOE	6590		
Cs137	soil	EPA	1530		
Cs137	soil	GENII	1820		
Eu150	air	DOE	-1		
Eu150	air	EPA	9.55e-07		
Eu150	air	GENII	-1		
Eu150	ingest	DOE	6.2e-06	0.001	
Eu150	ingest	EPA	6.36e-06	0.001	
Eu150	ingest	GENII	6.34e-06	0.001	
Eu150	inhale	DOE	0.00027		W
Eu150	inhale	EPA	0.000268		W
Eu150	inhale	GENII	0.00025		W
Eu150	soil	DOE	0		
Eu150	soil	EPA	3960		
Eu150	soil	GENII	5040		
Eu152	air	DOE	-1		
Eu152	air	EPA	7.53e-07		
Eu152	air	GENII	-1		
Eu152	ingest	DOE	6e-06	0.001	
Eu152	ingest	EPA	6.48e-06	0.001	
Eu152	ingest	GENII	6.48e-06	0.001	
Eu152	inhale	DOE	0.00022		W
Eu152	inhale	EPA	0.000221		W
Eu152	inhale	GENII	0.000211		W
Eu152	soil	DOE	12700		
Eu152	soil	EPA	3050		
Eu152	soil	GENII	3600		
Eu154	air	DOE	-1		
Eu154	air	EPA	8.18e-07		
Eu154	air	GENII	-1		
Eu154	ingest	DOE	9.1e-06	0.001	
Eu154	ingest	EPA	9.55e-06	0.001	
Eu154	ingest	GENII	9.61e-06	0.001	
Eu154	inhale	DOE	0.00026		W
Eu154	inhale	EPA	0.000286		W
Eu154	inhale	GENII	0.000278		W
Eu154	soil	DOE	13800		
Eu154	soil	EPA	3340		
Eu154	soil	GENII	3740		
Eu155	air	DOE	-1		
Eu155	air	EPA	3.32e-08		
Eu155	air	GENII	-1		
Eu155	ingest	DOE	1.3e-06	0.001	
Eu155	ingest	EPA	1.53e-06	0.001	
Eu155	ingest	GENII	1.53e-06	0.001	
Eu155	inhale	DOE	3.9e-05		W
Eu155	inhale	EPA	4.14e-05		W
Eu155	inhale	GENII	4.12e-05		W
Eu155	soil	DOE	816		
Eu155	soil	EPA	92.4		
Eu155	soil	GENII	89.8		
Fe55	air	DOE	-1		
Fe55	air	EPA	0		
Fe55	air	GENII	-1		
Fe55	ingest	DOE	5.8e-07	0.1	
Fe55	ingest	EPA	6.07e-07	0.1	
Fe55	ingest	GENII	6.15e-07	0.1	
Fe55	inhale	DOE	2.6e-06		D
Fe55	inhale	EPA	2.69e-06		D
Fe55	inhale	GENII	2.74e-06		D
Fe55	soil	DOE	2.52		
Fe55	soil	EPA	0		
Fe55	soil	GENII	0.107		
Gd152	air	DOE	-1		
Gd152	air	EPA	0		
Gd152	air	GENII	-1		
Gd152	ingest	DOE	0.00015	0.0003	
Gd152	ingest	EPA	0.000161	0.0003	
Gd152	ingest	GENII	0.000161	0.0003	
Gd152	inhale	DOE	0.24		D
Gd152	inhale	EPA	0.243		D
Gd152	inhale	GENII	0.244		D
Gd152	soil	DOE	0		
Gd152	soil	EPA	0		
Gd152	soil	GENII	0		
H3	air	DOE	-1		
H3	air	EPA	4.41e-12		
H3	air	GENII	-1		
H3	ingest	DOE	6.3e-08	1	
H3	ingest	EPA	6.4e-08	1	
H3	ingest	GENII	6.12e-08	1	
H3	inhale	DOE	9.45e-08		V
H3	inhale	EPA	9.6e-08		V
H3	inhale	GENII	9.02e-08		V
H3	soil	DOE	0		
H3	soil	EPA	0		
H3	soil	GENII	3.49e-08		
Ho166_m1	air	DOE	-1		
Ho166_m1	air	EPA	1.13e-06		
Ho166_m1	air	GENII	-1		
Ho166_m1	ingest	DOE	7.8e-06	0.0003	
Ho166_m1	ingest	EPA	8.07e-06	0.0003	
Ho166_m1	ingest	GENII	8.13e-06	0.0003	
Ho166_m1	inhale	DOE	0.00072		W
Ho166_m1	inhale	EPA	0.000773		W
Ho166_m1	inhale	GENII	0.000746		W
Ho166_m1	soil	DOE	18800		
Ho166_m1	soil	EPA	4640		
Ho166_m1	soil	GENII	4670		
I129	air	DOE	-1		
I129	air	EPA	5.06e-09		
I129	air	GENII	-1		
I129	ingest	DOE	0.00028	1	
I129	ingest	EPA	0.000276	1	
I129	ingest	GENII	0.000249	1	
I129	inhale	DOE	0.00018		D
I129	inhale	EPA	0.000174		D
I129	inhale	GENII	0.000151		D
I129	soil	DOE	251		
I129	soil	EPA	6.57		
I129	soil	GENII	5.54		
In115	air	DOE	-1		
In115	air	EPA	5.99e-11		
In115	air	GENII	-1		
In115	ingest	DOE	0.00014	0.02	
In115	ingest	EPA	0.000158	0.02	
In115	ingest	GENII	8.68e-05	0.02	
In115	inhale	DOE	0.0034		D
In115	inhale	EPA	0.00374		D
In115	inhale	GENII	0.00202		D
In115	soil	DOE	0		
In115	soil	EPA	0.201		
In115	soil	GENII	0.256		
K40	air	DOE	-1		
K40	air	EPA	1.07e-07		
K40	air	GENII	-1		
K40	ingest	DOE	1.9e-05	1	
K40	ingest	EPA	1.86e-05	1	
K40	ingest	GENII	1.79e-05	1	
K40	inhale	DOE	1.2e-05		D
K40	inhale	EPA	1.24e-05		D
K40	inhale	GENII	1.19e-05		D
K40	soil	DOE	1560		
K40	soil	EPA	433		
K40	soil	GENII	487		
Mn54	air	DOE	-1		
Mn54	air	EPA	5.45e-07		
Mn54	air	GENII	-1		
Mn54	ingest	DOE	2.7e-06	0.1	
Mn54	ingest	EPA	2.77e-06	0.1	
Mn54	ingest	GENII	2.76e-06	0.1	
Mn54	inhale	DOE	6.4e-06		W
Mn54	inhale	EPA	6.7e-06		W
Mn54	inhale	GENII	6.36e-06		W
Mn54	soil	DOE	9590		
Mn54	soil	EPA	2270		
Mn54	soil	GENII	2530		
Mo93	air	DOE	-1		
Mo93	air	EPA	3.36e-10		
Mo93	air	GENII	-1		
Mo93	ingest	DOE	1.3e-06	0.8	
Mo93	ingest	EPA	1.35e-06	0.8	
Mo93	ingest	GENII	1.21e-06	0.8	
Mo93	inhale	DOE	2.8e-05		Y
Mo93	inhale	EPA	2.84e-05		Y
Mo93	inhale	GENII	2.8e-05		Y
Mo93	soil	DOE	65.9		
Mo93	soil	EPA	0.299		
Mo93	soil	GENII	0.243		
Na22	air	DOE	-1		
Na22	air	EPA	1.44e-06		
Na22	air	GENII	-1		
Na22	ingest	DOE	1.2e-05	1	
Na22	ingest	EPA	1.15e-05	1	
Na22	ingest	GENII	1.06e-05	1	
Na22	inhale	DOE	8e-06		D
Na22	inhale	EPA	7.66e-06		D
Na22	inhale	GENII	7.11e-06		D
Na22	soil	DOE	24000		
Na22	soil	EPA	5980		
Na22	soil	GENII	6750		
Nb91	air	DOE	-1		
Nb91	air	EPA	1.23e-09		
Nb91	air	GENII	-1		
Nb91	ingest	DOE	5.3e-07	0.01	
Nb91	ingest	EPA	5.22e-07	0.01	
Nb91	ingest	GENII	5.05e-07	0.01	
Nb91	inhale	DOE	2.8e-05		Y
Nb91	inhale	EPA	2.92e-05		Y
Nb91	inhale	GENII	2.94e-05		Y
Nb91	soil	DOE	83.6		
Nb91	soil	EPA	5.74		
Nb91	soil	GENII	5.74		
Nb93_m1	air	DOE	-1		
Nb93_m1	air	EPA	5.91e-11		
Nb93_m1	air	GENII	-1		
Nb93_m1	ingest	DOE	5.3e-07	0.01	
Nb93_m1	ingest	EPA	5.22e-07	0.01	
Nb93_m1	ingest	GENII	5.05e-07	0.01	
Nb93_m1	inhale	DOE	2.8e-05		Y
Nb93_m1	inhale	EPA	2.92e-05		Y
Nb93_m1	inhale	GENII	2.94e-05		Y
Nb93_m1	soil	DOE	11.7		
