# parent_GNDS	progeny_GNDS	bf	mode
# Per-branch daughters from ENDF/B-VIII.0 decay tapes (MF8/MT457 NDK
# records: RTYP decay-mode code, RFS daughter state flag, BR branching
# fraction). RTYP digits apply in emission order (ENDF-102 8.4; OpenMC
# decay.py digit table): beta- Z+1, EC/beta+ Z-1, alpha Z-2/A-4, IT
# unchanged, delayed neutrons/protons subtract emitted nucleons; the
# mode token is the initial event. SF/fission-family branches (any
# digit 6) and unknown-origin branches (RTYP 10) are dropped, so kept
# branches of strong SF emitters sum to 1-BR(SF); depletion matrices
# skip sf gains. Tapes with zero half-life or stable flags yield no
# rows (Te123 stays absent: effectively stable in this evaluation).
# Basis note: this table and half_life.tsv use ENDF/B-VIII.0 while
# decay_energy.tsv stays on ENDF/B-VII.1 (different sublibrary vintages).
# Screening-level only: use evaluated libraries for transport.
# Regenerate: python3 scripts/gen-nuclear-data.py --endf-decay8 <dir> --out <dir>.
As79	Se79_m1	0.976314	beta-
As80	Se80	1	beta-
As81	Se81	0.96411	beta-
As81	Se81_m1	0.0358897	beta-
As82	Se82	1	beta-
As82_m1	Se82	1	beta-
As83	Se83	1	beta-
As84	Se83	0.0018	beta-
As84	Se84	0.9982	beta-
As85	Se84	0.594	beta-
As85	Se85	0.406	beta-
As86	Se84	6.2991e-06	beta-
As86	Se85	0.355	beta-
As86	Se86	0.644994	beta-
As87	Se85	6.3502e-12	beta-
As87	Se86	0.39672	beta-
As87	Se87	0.60328	beta-
As88	Se86	0.0020827	beta-
As88	Se87	0.407617	beta-
As88	Se88	0.5903	beta-
As89	Se87	0.00076842	beta-
As89	Se88	0.999221	beta-
As89	Se89	1e-05	beta-
As90	Se87	3.7117e-09	beta-
As90	Se88	0.014506	beta-
As90	Se89	0.402064	beta-
As90	Se90	0.58343	beta-
As91	Se88	1.8213e-05	beta-
As91	Se89	0.0141408	beta-
As91	Se90	0.985841	beta-
As92	Se88	4.864e-12	beta-
As92	Se89	0.0011677	beta-
As92	Se90	0.303782	beta-
As92	Se91	0.69505	beta-
At193	Bi189	1	alpha
At194	Bi190	0.5	alpha
At194	Po194	0.5	ec/beta+
At194_m1	At194	0.333333	IT
At194_m1	Bi190	0.333333	alpha
At194_m1	Po194	0.333333	ec/beta+
At195	Bi191	1	alpha
At195_m1	Bi191	1	alpha
At196	Bi192	0.951	alpha
At196	Po196	0.049	ec/beta+
At196_m1	At196	1	IT
At197	Bi193	0.961	alpha
At197	Po197	0.039	ec/beta+
At197_m1	Bi193	0.5	alpha
At197_m1	Po197	0.5	ec/beta+
At198	Bi194	0.9	alpha
At198	Po198	0.1	ec/beta+
At198_m1	Bi194	0.84	alpha
At198_m1	Po198	0.16	ec/beta+
At199	Bi195	0.9	alpha
At199	Po199	0.1	ec/beta+
At200	Bi196	0.52	alpha
At200	Po200	0.48	ec/beta+
At200_m1	Bi196	0.43	alpha
At200_m1	Po200	0.57	ec/beta+
At200_m2	At200	0.4475	IT
At200_m2	Bi196	0.105	alpha
At200_m2	Po200	0.4475	ec/beta+
At201	Bi197	0.71	alpha
At201	Po201	0.29	ec/beta+
At202	Bi198	0.37	alpha
At202	Po202	0.63	ec/beta+
At202_m1	Bi198	0.087	alpha
At202_m1	Po202	0.913	ec/beta+
At202_m2	At202	0.999	IT
At202_m2	Bi198	0.001	alpha
At203	Bi199	0.31	alpha
At203	Po203	0.69	ec/beta+
At204	Bi200	0.0391	alpha
At204	Po204	0.9609	ec/beta+
At204_m1	At204	1	IT
At205	Bi201	0.1	alpha
At205	Po205	0.9	ec/beta+
At206	Bi202	0.009	alpha
At206	Po206	0.991	ec/beta+
At207	Bi203	0.086	alpha
At207	Po207	0.914	ec/beta+
At208	Bi204	0.0055	alpha
At208	Po208	0.9945	ec/beta+
At209	Bi205	0.041	alpha
At209	Po209	0.959	ec/beta+
At210	Bi206	0.00175	alpha
At210	Po210	0.99825	ec/beta+
At211	Bi207	0.418	alpha
At211	Po211	0.582	ec/beta+
At212	Bi208	1	alpha
At212_m1	Bi208	1	alpha
At213	Bi209	1	alpha
At214	Bi210	1	alpha
At215	Bi211	1	alpha
At216	Bi212	1	alpha
At217	Bi213	0.99993	alpha
At217	Rn217	7e-05	beta-
At218	Bi214	0.999	alpha
At218	Rn218	0.001	beta-
At219	Bi215	0.97	alpha
At219	Rn219	0.03	beta-
At220	Bi216	0.08	alpha
At220	Rn220	0.92	beta-
At221	Rn221	1	beta-
At222	Rn222	1	beta-
At223	Rn223	1	beta-
Au169	Ir165	0.5	alpha
Au169	Pt168	0.5	p
Au170	Ir166	0.11	alpha
Au170	Pt169	0.89	p
Au170_m1	Ir166	0.42	alpha
Au170_m1	Pt169	0.58	p
Au171	Pt170	1	p
Au171_m1	Ir167	0.54	alpha
Au171_m1	Pt170	0.46	p
Au172	Ir168	0.49	alpha
Au172	Ir168_m1	0.49	alpha
Au172	Pt171	0.02	p
Au173	Ir169	0.94	alpha
Au173	Pt173	0.06	ec/beta+
Au173_m1	Ir169	0.92	alpha
Au173_m1	Pt172	0.04	p
Au173_m1	Pt173	0.04	ec/beta+
Au174	Ir170	1	alpha
Au174_m1	Ir170	1	alpha
Au175	Ir171	1	alpha
Au175_m1	Ir171	0.94	alpha
Au175_m1	Pt175	0.06	ec/beta+
Au176	Ir172	0.5	alpha
Au176	Pt176	0.5	ec/beta+
Au176_m1	Ir172	0.5	alpha
Au176_m1	Pt176	0.5	ec/beta+
Au177	Ir173	1	alpha
Au177_m1	Ir173	0.6	alpha
Au177_m1	Pt177	0.4	ec/beta+
Au178	Ir174	0.4	alpha
Au178	Pt178	0.6	ec/beta+
Au179	Ir175	0.22	alpha
Au179	Pt179	0.78	ec/beta+
Au180	Ir176	0.018	alpha
Au180	Pt180	0.982	ec/beta+
Au181	Ir177	0.027	alpha
Au181	Pt181	0.973	ec/beta+
Au182	Ir178	0.0013	alpha
Au182	Pt182	0.9987	ec/beta+
Au183	Ir179	0.0036	alpha
Au183	Pt183	0.9964	ec/beta+
Au184	Pt184	1	ec/beta+
Au184_m1	Au184	0.3	IT
Au184_m1	Pt184	0.7	ec/beta+
Au185	Ir181	0.0026	alpha
Au185	Pt185	0.9974	ec/beta+
Au186	Ir182	8e-06	alpha
Au186	Pt186	0.999992	ec/beta+
Au187	Ir183	2.99991e-05	alpha
Au187	Pt187	0.99997	ec/beta+
Au187_m1	Au187	1	IT
Au188	Pt188	1	ec/beta+
Au189	Ir185	3e-07	alpha
Au189	Pt189	1	ec/beta+
Au189_m1	Pt189	1	ec/beta+
Au190	Pt190	1	ec/beta+
Au190_m1	Au190	1	IT
Au191	Pt191	1	ec/beta+
Au191_m1	Au191	1	IT
Au192	Pt192	1	ec/beta+
Au192_m1	Au192	1	IT
Au192_m2	Au192	1	IT
Au193	Pt193	1	ec/beta+
Au193_m1	Au193	0.9997	IT
Au193_m1	Pt193	0.0003	ec/beta+
Au194	Pt194	1	ec/beta+
Au194_m1	Au194	1	IT
Au194_m2	Au194	1	IT
Au195	Pt195	1	ec/beta+
Au195_m1	Au195	1	IT
Au196	Hg196	0.07	beta-
Au196	Pt196	0.93	ec/beta+
Au196_m1	Au196	1	IT
Au196_m2	Au196_m1	1	IT
Au197_m1	Au197	1	IT
Au198	Hg198	1	beta-
Au198_m1	Au198	1	IT
Au199	Hg199	1	beta-
Au200	Hg200	1	beta-
Au200_m1	Au200	0.16	IT
Au200_m1	Hg200	0.84	beta-
Au201	Hg201	1	beta-
Au202	Hg202	1	beta-
Au203	Hg203	1	beta-
Au204	Hg204	1	beta-
Au205	Hg205	1	beta-
B12	C12	1	beta-
B13	C13	1	beta-
B14	C14	1	beta-
B15	C13	0.004	beta-
B15	C14	0.936	beta-
B15	C15	0.06	beta-
B16	B15	1	n
B17	C13	0.004	beta-
B17	C14	0.035	beta-
B17	C15	0.11	beta-
B17	C16	0.63	beta-
B17	C17	0.221	beta-
B18	B17	1	n
B19	C17	0.16	beta-
B19	C18	0.72	beta-
B19	C19	0.12	beta-
B6	Li4	1	p
B7	Be6	1	p
B8	He4	1	ec/beta+
B9	Be8	1	p
Ba114	Cs114	0.8	ec/beta+
Ba114	Xe110	9e-07	alpha
Ba114	Xe113	0.2	ec/beta+
Ba115	Cs115	0.85	ec/beta+
Ba115	Xe114	0.15	ec/beta+
Ba116	Cs116	0.97	ec/beta+
Ba116	Xe115	0.03	ec/beta+
Ba117	Cs117	1	ec/beta+
Ba118	Cs118	1	ec/beta+
Ba119	Cs119	0.75	ec/beta+
Ba119	Xe118	0.25	ec/beta+
Ba120	Cs120	1	ec/beta+
Ba121	Cs121	1	ec/beta+
Ba122	Cs122	1	ec/beta+
Ba123	Cs123	1	ec/beta+
Ba124	Cs124	1	ec/beta+
Ba125	Cs125	1	ec/beta+
Ba126	Cs126	1	ec/beta+
Ba127	Cs127	1	ec/beta+
Ba127_m1	Ba127	1	IT
Ba128	Cs128	1	ec/beta+
Ba129	Cs129	1	ec/beta+
Ba129_m1	Cs129	1	ec/beta+
Ba130_m1	Ba130	1	IT
Ba131	Cs131	1	ec/beta+
Ba131_m1	Ba131	1	IT
Ba133	Cs133	1	ec/beta+
Ba133_m1	Ba133	0.999904	IT
Ba133_m1	Cs133	9.6e-05	ec/beta+
Ba135_m1	Ba135	1	IT
Ba136_m1	Ba136	1	IT
Ba137_m1	Ba137	1	IT
Ba139	La139	1	beta-
